fid,FIRED_ID,GID,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NAME,INCTYP_ABBREVIATION,FINAL_ACRES,CAUSE,COMPLEX,DISCOVERY_DATE,DISCOVERY_DOY,EXPECTED_CONTAINMENT_DATE,FATALITIES,FUEL_MODEL,INCIDENT_DESCRIPTION,INC_IDENTIFIER,INJURIES_TOTAL,LL_CONFIDENCE,LL_UPDATE,LOCAL_TIMEZONE,POO_CITY,POO_COUNTY,POO_SHORT_LOCATION_DESC,POO_STATE,PROJECTED_FINAL_IM_COST,START_YEAR,SUPPRESSION_METHOD,STR_DAMAGED_TOTAL,STR_DAMAGED_COMM_TOTAL,STR_DAMAGED_RES_TOTAL,STR_DESTROYED_TOTAL,STR_DESTROYED_COMM_TOTAL,STR_DESTROYED_RES_TOTAL,FATALITIES_RESPONDER,FATALITIES_PUBLIC,FINAL_REPORT_DATE,INCIDENT_ID_OLD,INC_MGMT_NUM_SITREPS,PEAK_EVACUATIONS,STR_THREATENED_MAX,STR_THREATENED_COMM_MAX,STR_THREATENED_RES_MAX,TOTAL_AERIAL_SUM,TOTAL_PERSONNEL_SUM,WF_PEAK_AERIAL,WF_PEAK_AERIAL_DATE,WF_PEAK_AERIAL_DOY,WF_PEAK_PERSONNEL,WF_PEAK_PERSONNEL_DATE,WF_PEAK_PERSONNEL_DOY,WF_CESSATION_DATE,WF_CESSATION_DOY,WF_MAX_FSR,WF_MAX_GROWTH_DATE,WF_MAX_GROWTH_DOY,WF_GROWTH_DURATION,SUP_SERIES,SUP_METHOD_INITIAL,SUP_METHOD_FINAL,SUP_PERCENT_FS,FOD_ID_LIST,FOD_FIRE_NUM,MTBS_FIRE_LIST,FOD_DISCOVERY_DOY,FOD_CONTAIN_DOY,FOD_CAUSE,FOD_FINAL_ACRES,FOD_FIRE_LIST,FOD_COORD_LIST,FOD_CAUSE_NUM,FOD_COORD_NUM,MTBS_FIRE_NUM,LRGST_FOD_ID,LRGST_FOD_LATITUDE,LRGST_FOD_LONGITUDE,LRGST_MTBS_FIRE_INFO,LRGST_FOD_COORDS,POO_LONGITUDE,POO_LATITUDE,STUSPS,Event_ID,Incid_Name,MTBS_Ig_Date,MTBS_Ig_Year,MTBS_Ig_Month,BurnBndAc,MTBS_ACRE_DIFF,MTBS_PERC_DIFF,MTBS_DATE_DIFF,ig_date,ig_day,ig_month,ig_year,last_date,event_dur,tot_pix,tot_ar_km2,fsr_px_dy,fsr_km2_dy,mx_grw_px,mn_grw_px,mu_grw_px,mx_grw_km2,mn_grw_km2,mu_grw_km2,mx_grw_dte,ig_utm_x,ig_utm_y,tot_perim,tot_ar_ac,FIRED_ACRE_DIFF,FIRED_DATE_DIFF,FIRED_PERC_DIFF,PREDICTED_ACRES,mx_grw_ha,tot_ar_ha,mx_grw_pct
"1",2645,2680,2001_NV-EKD-X275_SHEEP,NV-EKD-X275,SHEEP,WF,82000,L,true,2001/08/09 00:00:00+00,221,,0,,,,0,,,,,,25 miles North of Battle Mtn,NV,891978,2001,,0,0,0,0,0,0,,,2001/08/17 00:00:00+00,,5,,,,,6,1314,3,2001/08/13 00:00:00+00,225,563,2001/08/13 00:00:00+00,225,2001/08/13 00:00:00+00,225,50000,2001/08/12 00:00:00+00,224,4,"[nan, nan, nan, nan, nan]",,,0,[341694],1,['NV4077411679420010809-SHEEP'],221,231,['Natural'],83723,"[{'ID': 341694, 'MTBS_ID': 'NV4077411679420010809(SHEEP)', 'COORDS': (40.8116, -116.8443), 'CAUSE': 'Natural', 'SIZE': 83723.0, 'DISC': 221, 'CONT': 231.0}]","[(40.8116, -116.8443)]",1,1,1,341694,40.8116,-116.8443,NV4077411679420010809(SHEEP),"(40.8116, -116.8443)",-116.833333333333,40.8,NV,NV4077411679420010809,SHEEP,2001/08/09,2001,8,85110,3110,3.65409470097521,0,2001-08-07,219,8,2001,2001-08-16,10,1409,302.454070674737,140.9,30.2454070674737,1024,1,794.476224272534,219.810481455593,0.214658673296478,170.541212267937,2001-08-13,-9828947.62477349,4534209.90029646,194567.340941731,74737.9131340808,10372.0868659192,1.83333333333333,12.1866841333793,87333.2912136791,21981.0481455593,30245.4070674737,72.6756564939674
"2",6819,3443,2002_CO-PSF-404_HAYMAN,CO-PSF-404,HAYMAN,WF,137760,H,false,2002/06/08 16:00:00+00,159,2002-07-02 00:00:00,0,,,,0,,,,,PARK,North of Lake George  Park  Jefferson Douglas  Teller Counties,CO,39200000,2002,,0,0,0,600,1,133,,,2002/08/11 18:30:00+00,,62,,10000,10,10000,362,48922,21,2002/06/22 18:00:00+00,173,2564,2002/06/21 18:00:00+00,172,2002/06/19 18:00:00+00,170,56189,2002/06/10 17:00:00+00,161,11,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,[155922],1,['CO3922010528720020608-HAYMAN'],159,199,['Missing data/not specified/undetermined'],137760,"[{'ID': 155922, 'MTBS_ID': 'CO3922010528720020608(HAYMAN)', 'COORDS': (39.0575, -105.40833329999998), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 137760.0, 'DISC': 159, 'CONT': 199.0}]","[(39.0575, -105.40833329999998)]",1,1,1,155922,39.0575,-105.4083333,CO3922010528720020608(HAYMAN),"(39.0575, -105.40833329999998)",-105.429167,39.049722,CO,CO3922010528720020608,HAYMAN,2002/06/08,2002,6,129417,8343,6.44660284197594,0.666666666666667,2002-05-22,142,5,2002,2002-06-29,39,2489,534.285437834933,63.8205128205128,13.6996266111521,1027,1,528.382081157091,220.454457475482,0.214658673296478,113.421796534813,2002-06-11,-9094596.96907674,4343325.06108695,225161.980232548,132024.603116201,2607.603116201,17.5,2.01488453309921,153943.096683779,22045.4457475482,53428.5437834933,41.2615508236239
"3",18777,4444,2003_CA-VNC-03080298_SIMI INCIDENT,CA-VNC-03080298,SIMI INCIDENT,WF,108204,U,false,2003/10/25 14:50:00+00,298,2003-11-02 08:00:00,0,Chaparral (6 feet),,,21,,,,,Ventura,Santa Paula / Simi Valley / Moorpark /Santa Clarita,CA,10000000,2003,,12,0,12,300,0,22,,,2003/11/11 18:00:00+00,,36,,2500,100,2200,178,20520,24,2003/10/29 18:00:00+00,302,1575,2003/10/29 18:00:00+00,302,2003/10/29 18:00:00+00,302,47150,2003/10/26 06:00:00+00,299,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,[1301190],1,['CA3433511879220031025-SIMI'],298,315,['Missing data/not specified/undetermined'],108204,"[{'ID': 1301190, 'MTBS_ID': 'CA3433511879220031025(SIMI)', 'COORDS': (34.384722, -118.6675), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 108204.0, 'DISC': 298, 'CONT': 315.0}]","[(34.384722, -118.6675)]",1,1,1,1301190,34.384722,-118.6675,CA3433511879220031025(SIMI),"(34.384722, -118.6675)",-118.6675,34.384722,CA,CA3433511879220031025,SIMI,2003/10/25,2003,10,107756,448,0.415754111139983,0.618055555555556,2003-10-17,290,10,2003,2003-11-08,23,2976,638.824211730317,129.391304347826,27.7749657274051,1255,1,736.506048387097,269.396634987079,0.214658673296478,158.097411221605,2003-10-27,-10890860.3710555,3828584.63302444,412308.317709839,157856.65683962,50100.65683962,8.45138888888889,46.4945402943873,183979.18489113,26939.6634987079,63882.4211730317,42.1706989247312
"4",18892,4205,2003_CA-CNF-003056_CEDAR,CA-CNF-003056,CEDAR,WF,273246,H,false,2003/10/25 17:37:00+00,298,2003-11-04 18:00:00,14,Chaparral (6 feet),,,113,,,,,SAN DIEGO,Southern San Diego County,CA,32616213,2003,,63,0,53,2820,22,2232,,,2003/12/06 08:00:00+00,,61,,21500,3000,15000,626,74404,41,2003/11/02 17:30:00+00,306,5203,2003/11/01 18:30:00+00,305,2003/10/30 07:00:00+00,303,154000,2003/10/27 14:18:00+00,300,5,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,[165380],1,['CA3293911676620031025-CEDAR'],298,308,['Recreation and ceremony'],280059,"[{'ID': 165380, 'MTBS_ID': 'CA3293911676620031025(CEDAR)', 'COORDS': (32.98555556, -116.7275), 'CAUSE': 'Recreation and ceremony', 'SIZE': 280059.0, 'DISC': 298, 'CONT': 308.0}]","[(32.98555556, -116.7275)]",1,1,1,165380,32.98555556,-116.7275,CA3293911676620031025(CEDAR),"(32.98555556, -116.7275)",-116.7275,32.985556,CA,CA3293911676620031025,CEDAR,2003/10/25,2003,10,268362,4884,1.8199297963199,0.734027777777778,2003-10-22,295,10,2003,2003-11-08,18,4933,1058.91123537152,274.055555555556,58.8284019650846,1929,1,1162.67281573079,414.076580788905,0.214658673296478,249.577804102652,2003-10-27,-10876034.3641266,3667351.80767273,427118.324638747,261662.26081648,6699.73918351968,3.56736111111111,2.49653050115876,304678.619432783,41407.6580788905,105891.123537152,39.1039935130752
"5",33903,6658,2005_ID-TFD-B0H9_CLOVER,ID-TFD-B0H9,CLOVER,WF,192846,L,false,2005/07/15 18:58:00+00,196,,0,Brush (2 feet),,,0,,,,,Owyhee,30 miles south of Hammett,ID,1352720,2005,,0,0,0,2,1,0,,,2005/07/21 18:00:00+00,,6,,22,2,10,13,1299,3,2005/07/17 18:00:00+00,198,316,2005/07/19 18:00:00+00,200,2005/07/19 18:00:00+00,200,100000,2005/07/16 14:58:00+00,197,4,"[nan, nan, nan, nan, nan, nan]",,,0,[336644],1,['ID4263011521720050715-CLOVER'],196,201,['Natural'],192846.1,"[{'ID': 336644, 'MTBS_ID': 'ID4263011521720050715(CLOVER)', 'COORDS': (42.6289, -115.5064), 'CAUSE': 'Natural', 'SIZE': 192846.1, 'DISC': 196, 'CONT': 201.0}]","[(42.6289, -115.5064)]",1,1,1,336644,42.6289,-115.5064,ID4263011521720050715(CLOVER),"(42.6289, -115.5064)",-115.537222,42.632778,ID,ID4263011521720050715,CLOVER,2005/07/15,2005,7,199023,6177,3.10366138586997,0.790277777777778,2005-06-24,175,6,2005,2005-08-05,43,3418,733.70334532736,79.4883720930233,17.0628684959851,1679,1,1325.91925102399,360.411912464786,0.214658673296478,284.620067323069,2005-07-17,-9407796.36544961,4747333.7498993,419697.321174257,181301.765147117,17721.2348528827,21.6236111111111,8.90411402344587,211239.864537226,36041.1912464786,73370.334532736,49.1222937390287
"6",44570,9338,2006_NV-WID-2006-2187_WINTERS,NV-WID-2006-2187,WINTERS,WF,238458,L,false,2006/07/25 09:53:00+00,206,2006-08-03 18:00:00,0,,,,0,,,,,Humboldt/Elko,10 Miles NW of Midas   NV,NV,2603582,2006,,0,0,0,0,0,0,,,2006/08/03 16:00:00+00,,10,,191,12,54,18,3004,4,2006/08/02 15:40:00+00,214,537,2006/08/01 16:40:00+00,213,2006/07/31 16:40:00+00,212,76228,2006/07/28 18:00:00+00,209,6,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,[342321],1,['NV4142111667920060725-WINTERS'],206,215,['Natural'],238462.6,"[{'ID': 342321, 'MTBS_ID': 'NV4142111667920060725(WINTERS)', 'COORDS': (41.3603, -116.9144), 'CAUSE': 'Natural', 'SIZE': 238462.6, 'DISC': 206, 'CONT': 215.0}]","[(41.3603, -116.9144)]",1,1,1,342321,41.3603,-116.9144,NV4142111667920060725(WINTERS),"(41.3603, -116.9144)",-116.916389,41.360556,NV,NV4142111667920060725,WINTERS,2006/07/25,2006,7,242873,4415,1.8178224833555,0.411805555555556,2006-07-26,207,7,2006,2006-08-08,14,4352,934.19454618627,310.857142857143,66.7281818704479,1309,2,872.214154411765,280.988203345089,0.429317346592955,187.228333216438,2006-07-29,-9720995.76182248,4604170.12049217,434475.328103153,230844.143335358,12028.8566646417,0.754861111111111,4.95273524213958,268845.011119701,28098.8203345089,93419.454618627,30.078125
"7",44929,8345,2006_ID-IFD-000029_CRYSTAL,ID-IFD-000029,CRYSTAL,WF,220042,L,false,2006/08/15 02:35:00+00,227,2006-08-31 18:00:00,0,,,,0,,,,,Power,20 miles NW of American Falls,ID,1500000,2006,,0,0,0,2,0,0,,,2006/08/31 18:30:00+00,,17,,1,1,,,988,,2006/08/15 20:00:00+00,227,173,2006/08/20 16:15:00+00,232,2006/08/18 20:30:00+00,230,104000,2006/08/17 20:30:00+00,229,3,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,[336505],1,['ID4310411315820060815-CRYSTAL'],227,253,['Natural'],220042.1,"[{'ID': 336505, 'MTBS_ID': 'ID4310411315820060815(CRYSTAL)', 'COORDS': (42.9569, -113.2411), 'CAUSE': 'Natural', 'SIZE': 220042.1, 'DISC': 227, 'CONT': 253.0}]","[(42.9569, -113.2411)]",1,1,1,336505,42.9569,-113.2411,ID4310411315820060815(CRYSTAL),"(42.9569, -113.2411)",-113.240278,42.956944,ID,ID4310411315820060815,CRYSTAL,2006/08/15,2006,8,218581,1461,0.668402102653021,0.107638888888889,2006-08-08,220,8,2006,2006-08-23,16,3428,735.849932060325,214.25,45.9906207537703,1554,1,1276.34597432905,333.579578302726,0.214658673296478,273.978733516775,2006-08-17,-9143708.1170287,4814977.40651237,469775.094559291,181832.197461767,36748.8025382334,6.94097222222222,16.8124414007775,211856.621995283,33357.9578302726,73584.9932060325,45.3325554259043
"8",45125,9020,2006_MT-GNF-000047_DERBY FIRE,MT-GNF-000047,DERBY FIRE,WF,223570,L,false,2006/08/22 16:30:00+00,234,2006-10-15 18:00:00,0,Timber (Litter and Understory),,,4,,,,,Sweet Grs/Stlwtr/Par,15 miles south of Big Timber  MT,MT,22467000,2006,,0,0,0,47,0,26,,,2006/11/06 11:00:00+00,,43,,245,,215,168,20056,11,2006/09/09 17:54:00+00,252,1060,2006/09/07 17:30:00+00,250,2006/09/15 18:00:00+00,258,116000,2006/08/31 17:30:00+00,243,24,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,[12900],1,['MT4559210981020060822-DERBY'],234,292,['Natural'],207115,"[{'ID': 12900, 'MTBS_ID': 'MT4559210981020060822(DERBY)', 'COORDS': (45.53611111, -109.93472220000001), 'CAUSE': 'Natural', 'SIZE': 207115.0, 'DISC': 234, 'CONT': 292.0}]","[(45.53611111, -109.93472220000001)]",1,1,1,12900,45.53611111,-109.9347222,MT4559210981020060822(DERBY),"(45.53611111, -109.93472220000001)",-109.933889,45.531667,MT,MT4559210981020060822,DERBY,2006/08/22,2006,8,200993,22577,11.2327294980422,0.6875,2006-08-18,230,8,2006,2006-09-20,34,3491,749.373428478003,102.676470588235,22.0403949552354,1507,1,795.885706101404,323.490620657792,0.214658673296478,170.843769767358,2006-08-31,-8540938.27282588,5074432.52776801,300154.64031006,185173.921044057,15819.0789559431,4.52083333333333,7.87046263100858,215742.193981038,32349.0620657792,74937.3428478003,43.1681466628473
"9",45181,8446,2006_ID-TFD-001593_SAILOR CAP,ID-TFD-001593,SAILOR CAP,WF,61929.1,H,false,2006/08/23 13:24:00+00,235,2006-08-26 18:00:00,0,Short Grass (1 foot),,,2,,,,,OWYHEE,20 MILES SOUTH OF HAMMETT,ID,,2006,,0,0,0,1,1,0,,,2006/08/30 18:33:00+00,,5,,1,1,,,242,,2006/08/23 21:50:00+00,235,82,2006/08/25 18:52:00+00,237,2006/08/23 21:50:00+00,235,61697.7,2006/08/23 21:50:00+00,235,0,"[nan, nan, nan, nan, nan]",,,0,[336675],1,['ID4258011530420060823-SAILOR CAP'],235,238,['Missing data/not specified/undetermined'],61929.1,"[{'ID': 336675, 'MTBS_ID': 'ID4258011530420060823(SAILOR CAP)', 'COORDS': (42.6689, -115.4278), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 61929.1, 'DISC': 235, 'CONT': 238.0}]","[(42.6689, -115.4278)]",1,1,1,336675,42.6689,-115.4278,ID4258011530420060823(SAILOR CAP),"(42.6689, -115.4278)",-115.443611,42.703611,ID,ID4258011530420060823,SAILOR CAP,2006/08/23,2006,8,62699,769.900000000001,1.22793027002026,0.558333333333333,2006-08-21,233,8,2006,2006-08-27,7,1013,217.449236049332,144.714285714286,31.064176578476,729,1,567.971372161895,156.486172833132,0.214658673296478,121.919981218652,2006-08-25,-9441154.88103962,4727874.61580512,126021.058895599,53732.7934739701,8966.2065260299,2.39166666666667,14.300397974497,62909.6958746425,15648.6172833132,21744.9236049332,71.964461994077
"10",45490,9267,2006_NV-EKD-001206_AMAZON,NV-EKD-001206,AMAZON,WF,108564,L,false,2006/09/03 18:29:00+00,246,2006-09-11 18:00:00,0,,,,1,,,,,Elko,8 miles northwest of Tuscarora  Nevada,NV,1168000,2006,,0,0,0,2,2,0,,,2006/09/17 16:54:00+00,,14,,70,30,10,9,1676,2,2006/09/10 18:30:00+00,253,339,2006/09/08 18:30:00+00,251,2006/09/07 17:00:00+00,250,52500,2006/09/05 18:06:00+00,248,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,[342406],1,['NV4149011635520060903-AMAZON'],246,254,['Natural'],108563.6,"[{'ID': 342406, 'MTBS_ID': 'NV4149011635520060903(AMAZON)', 'COORDS': (41.4672, -116.3319), 'CAUSE': 'Natural', 'SIZE': 108563.6, 'DISC': 246, 'CONT': 254.0}]","[(41.4672, -116.3319)]",1,1,1,342406,41.4672,-116.3319,NV4149011635520060903(AMAZON),"(41.4672, -116.3319)",-116.3275,41.456944,NV,NV4149011635520060903,AMAZON,2006/09/03,2006,9,105310,3254,3.08992498338239,0.770138888888889,2006-09-03,246,9,2006,2006-09-23,21,1866,400.553084371227,88.8571428571429,19.0739563986299,706,1,466.121114683816,151.549023347313,0.214658673296478,100.056940073503,2006-09-07,-9682077.49363414,4614826.31297231,209409.347870624,98978.6699135521,6331.33008644792,0.603472222222222,6.01208820287525,115519.10704686,15154.9023347313,40055.3084371227,37.8349410503751
